Task,Acceptance Criteria,Dependencies,Estimated Time,Files to Create/Edit,Phase,Priority,QA Checklist,Status,Task ID
Enable strict TypeScript config,"strict: true, noUncheckedIndexedAccess, no implicit any; path aliases (@/*) configured; type-check script passes.",P01-001,0.5h,tsconfig.json,Phase 01 — Project Foundation,Critical,"- [ ] tsc --noEmit passes
- [ ] @/* alias resolves
- [ ] No any permitted by config",Not started,P01-002
Initialize Next.js 15 app (App Router),App scaffolds via create-next-app with App Router + TS; dev server runs clean on http://localhost:3000; React 19 + Next 15 versions pinned in package.json.,None,1h,"package.json, next.config.ts, app/layout.tsx, app/page.tsx, tsconfig.json",Phase 01 — Project Foundation,Critical,"- [ ] pnpm dev boots without errors
- [ ] App Router (/app) in use, not Pages
- [ ] Versions match master spec §3",Not started,P01-001
Configure Tailwind CSS,Tailwind wired with content globs for /app and /components; base layer imports globals; utility classes render in a test page.,P01-001,0.5h,"tailwind.config.ts, postcss.config.mjs, styles/globals.css",Phase 01 — Project Foundation,Critical,"- [ ] Utility class styles a test element
- [ ] No PostCSS build warnings
- [ ] globals.css imported in root layout",Not started,P01-003
Set up ESLint + Prettier,Lint + format scripts exist and pass on a clean tree; Tailwind class sorting plugin enabled; no rule conflicts between ESLint and Prettier.,P01-002,1h,".eslintrc / eslint.config.mjs, .prettierrc, .prettierignore, package.json scripts",Phase 01 — Project Foundation,High,"- [ ] lint passes
- [ ] format:check passes
- [ ] Editor format-on-save documented in README",Not started,P01-004
Create base folder structure,Folder tree matches master spec §7 exactly; each dir has an index or .gitkeep; no stray boilerplate folders.,P01-001,0.5h,"/app, /components/ui, /components/sections, /components/three, /hooks, /lib, /utils, /styles, /public, /assets",Phase 01 — Project Foundation,High,"- [ ] Tree matches spec §7
- [ ] Empty dirs tracked
- [ ] No unused default folders",Not started,P01-005
Define design tokens (CSS variables),"Color tokens from master spec §5 (--bg-base, --bg-elevated, --accent-gold, --text-primary, --text-muted) defined as CSS vars and mapped into Tailwind theme; spacing scale on 4px base.",P01-003,1h,"styles/tokens.css, tailwind.config.ts (theme.extend)",Phase 01 — Project Foundation,High,"- [ ] All §5 colors present
- [ ] Tailwind exposes token utilities
- [ ] 4px spacing scale defined",Not started,P01-006
Implement dark theme system,"Dark luxury palette applied at root; background #0B0B0B, text #F7F7F5 by default; color-scheme set; no FOUC.",P01-006,0.5h,"app/layout.tsx, styles/globals.css",Phase 01 — Project Foundation,Medium,"- [ ] Dark base renders on all routes
- [ ] No flash of unstyled/light content
- [ ] Contrast meets AA",Not started,P01-007
Install motion + 3D dependencies,"lenis, gsap, framer-motion, three, @react-three/fiber, @react-three/drei, split-type installed and pinned; app still builds. No engines initialized yet (no animations in Phase 1).",P01-001,0.5h,package.json,Phase 01 — Project Foundation,Critical,"- [ ] All libs in dependencies
- [ ] Build succeeds post-install
- [ ] No engine init code added yet",Not started,P01-009
Configure font loading (next/font),Display + body fonts loaded via next/font with display:swap; CSS variables exposed for Tailwind; fallback metrics set to avoid layout shift.,P01-006,1h,"lib/fonts.ts, app/layout.tsx",Phase 01 — Project Foundation,Medium,"- [ ] Fonts self-hosted via next/font
- [ ] No CLS from font swap
- [ ] Heading vs body fonts distinct",Not started,P01-008
Build root layout + placeholder routes,"Every route in master spec §4 exists as a minimal placeholder page; root layout wraps all; navigation between routes works. No hero, no animations.","P01-005,P01-007",1.5h,"app/layout.tsx, app/page.tsx, app/projects/page.tsx, app/communities/page.tsx, app/lifestyle/page.tsx, app/innovation/page.tsx, app/news/page.tsx, app/careers/page.tsx, app/contact/page.tsx",Phase 01 — Project Foundation,High,"- [ ] All §4 routes resolve (no 404)
- [ ] Shared layout applied
- [ ] Placeholders only, no UI features",Not started,P01-010
